side,charge,pt,phi,eta,momentum_scale
0,-1,0.25,0.3926990816987239,0.4,1.015948
0,-1,0.25,0.3926990816987239,0.6,1.0134209
0,-1,0.25,0.3926990816987239,0.7999999999999999,1.0105056
0,-1,0.25,0.3926990816987239,1.0,1.0080093
0,-1,0.25,0.6544984694978733,-1.0,0.9831249
0,-1,0.25,0.6544984694978733,-0.8,1.0028843
0,-1,0.25,0.6544984694978733,-0.6000000000000001,1.0128218
0,-1,0.25,0.6544984694978733,-0.4,1.0162277
0,-1,0.25,0.6544984694978733,-0.20000000000000007,1.0174099
0,-1,0.25,0.6544984694978733,0.0,1.0182524
0,-1,0.25,0.6544984694978733,0.20000000000000007,1.0182985
0,-1,0.25,0.6544984694978733,0.4,1.0161319
0,-1,0.25,0.6544984694978733,0.6,1.012486
0,-1,0.25,0.6544984694978733,0.7999999999999999,1.0092498
0,-1,0.25,0.6544984694978733,1.0,1.00679
0,-1,0.25,0.9162978572970226,-1.0,0.98275465
0,-1,0.25,0.9162978572970226,-0.8,1.0039736
0,-1,0.25,0.9162978572970226,-0.6000000000000001,1.0148233
0,-1,0.25,0.9162978572970226,-0.4,1.0181297
0,-1,0.25,0.9162978572970226,-0.20000000000000007,1.0192901
0,-1,0.25,0.9162978572970226,0.0,1.0199798
0,-1,0.25,0.9162978572970226,0.20000000000000007,1.0191048
0,-1,0.25,0.9162978572970226,0.4,1.0155085
0,-1,0.25,0.9162978572970226,0.6,1.0112851
0,-1,0.25,0.9162978572970226,0.7999999999999999,1.0081854
0,-1,0.25,0.9162978572970226,1.0,1.0059751
0,-1,0.25,1.178097245096172,-1.0,0.9821281
0,-1,0.25,1.178097245096172,-0.8,1.0041101
0,-1,0.25,1.178097245096172,-0.6000000000000001,1.0155729
0,-1,0.25,1.178097245096172,-0.4,1.0189422
0,-1,0.25,1.178097245096172,-0.20000000000000007,1.0201665
0,-1,0.25,1.178097245096172,0.0,1.020706
0,-1,0.25,1.178097245096172,0.20000000000000007,1.019024
0,-1,0.25,1.178097245096172,0.4,1.0146681
0,-1,0.25,1.178097245096172,0.6,1.0105301
0,-1,0.25,1.178097245096172,0.7999999999999999,1.007772
0,-1,0.25,1.178097245096172,1.0,1.0058236
0,-1,0.25,1.4398966328953215,-1.0,0.9809993
0,-1,0.25,1.4398966328953215,-0.8,1.003301
0,-1,0.25,1.4398966328953215,-0.6000000000000001,1.0150276
0,-1,0.25,1.4398966328953215,-0.4,1.0186721
0,-1,0.25,1.4398966328953215,-0.20000000000000007,1.0201114
0,-1,0.25,1.4398966328953215,0.0,1.020708
0,-1,0.25,1.4398966328953215,0.20000000000000007,1.0188059
0,-1,0.25,1.4398966328953215,0.4,1.0143472
0,-1,0.25,1.4398966328953215,0.6,1.0104096
0,-1,0.25,1.4398966328953215,0.7999999999999999,1.0078973
0,-1,0.25,1.4398966328953215,1.0,1.0061492
0,-1,0.25,1.7016960206944711,-1.0,0.9799606
0,-1,0.25,1.7016960206944711,-0.8,1.0023152
0,-1,0.25,1.7016960206944711,-0.6000000000000001,1.0140907
0,-1,0.25,1.7016960206944711,-0.4,1.0180105
0,-1,0.25,1.7016960206944711,-0.20000000000000007,1.0196415
0,-1,0.25,1.7016960206944711,0.0,1.0204043
0,-1,0.25,1.7016960206944711,0.20000000000000007,1.0187169
0,-1,0.25,1.7016960206944711,0.4,1.0144702
0,-1,0.25,1.7016960206944711,0.6,1.0106207
0,-1,0.25,1.7016960206944711,0.7999999999999999,1.0081812
0,-1,0.25,1.7016960206944711,1.0,1.006544
0,-1,0.25,1.9634954084936203,-1.0,0.9795721
0,-1,0.25,1.9634954084936203,-0.8,1.0018597
0,-1,0.25,1.9634954084936203,-0.6000000000000001,1.0135342
0,-1,0.25,1.9634954084936203,-0.4,1.0174841
0,-1,0.25,1.9634954084936203,-0.20000000000000007,1.0190659
0,-1,0.25,1.9634954084936203,0.0,1.0198572
0,-1,0.25,1.9634954084936203,0.20000000000000007,1.0184237
0,-1,0.25,1.9634954084936203,0.4,1.0145258
0,-1,0.25,1.9634954084936203,0.6,1.0107799
0,-1,0.25,1.9634954084936203,0.7999999999999999,1.0083232
0,-1,0.25,1.9634954084936203,1.0,1.0067004
0,-1,0.25,2.22529479629277,-1.0,0.97986794
0,-1,0.25,2.22529479629277,-0.8,1.0019513
0,-1,0.25,2.22529479629277,-0.6000000000000001,1.0133351
0,-1,0.25,2.22529479629277,-0.4,1.0170423
0,-1,0.25,2.22529479629277,-0.20000000000000007,1.0183736
0,-1,0.25,2.22529479629277,0.0,1.0190277
0,-1,0.25,2.22529479629277,0.20000000000000007,1.0176941
0,-1,0.25,2.22529479629277,0.4,1.0141249
0,-1,0.25,2.22529479629277,0.6,1.010582
0,-1,0.25,2.22529479629277,0.7999999999999999,1.0081495
0,-1,0.25,2.22529479629277,1.0,1.0065137
0,-1,0.25,2.4870941840919194,-1.0,0.98063797
0,-1,0.25,2.4870941840919194,-0.8,1.0023142
0,-1,0.25,2.4870941840919194,-0.6000000000000001,1.0132383
0,-1,0.25,2.4870941840919194,-0.4,1.01653
0,-1,0.25,2.4870941840919194,-0.20000000000000007,1.0174924
0,-1,0.25,2.4870941840919194,0.0,1.0179025
0,-1,0.25,2.4870941840919194,0.20000000000000007,1.0165309
