success,side,trial_id,random_seed,elapsed_seconds,hidden_width,hidden_layers,dropout_probability,batch_size,learning_rate,weight_decay,identity_penalty,smoothness_penalty,odd_component_penalty,maximum_even_log_scale,maximum_odd_log_scale,maximum_total_log_scale,maximum_epochs,patience,score,validation_nll,mean_before,mean_after,width_before,width_after,width_ratio,boundary_fraction,best_epoch
True,1,21,112366,13.517820119857788,8,3,0.05,256,0.002,0.005,50.0,300.0,30.0,0.01,0.01,0.04,300,35,-2.9669827826973227,-2.9674332593437525,0.49848681688308716,0.4976091980934143,0.011781815439462662,0.011378955096006393,0.9658065986921756,0.0,18
True,1,22,112367,11.409806251525879,24,2,0.1,128,0.001,0.0002,50.0,300.0,30.0,0.02,0.02,0.02,300,35,-2.938277872800545,-2.942513244390212,0.49848681688308716,0.49759405851364136,0.011781815439462662,0.011508348397910595,0.9767890574286114,0.0,1
True,1,23,112368,33.36130666732788,24,3,0.1,256,0.0003,0.0002,100.0,300.0,2.0,0.02,0.01,0.02,300,35,-2.9539317704174546,-2.9563495892284393,0.49848681688308716,0.4976119101047516,0.011781815439462662,0.011389398016035557,0.9666929578515786,0.0021902926230944453,21
True,1,24,112369,16.111613512039185,16,3,0.0,512,0.002,0.0002,50.0,100.0,2.0,0.015,0.015,0.04,300,35,-2.9404849304814413,-2.982420239891543,0.49848681688308716,0.4974432587623596,0.011781815439462662,0.01129055768251419,0.9583037300598832,0.0,29
True,1,25,112370,29.88768696784973,24,1,0.1,256,0.0003,0.005,50.0,300.0,10.0,0.01,0.01,0.03,300,35,-2.9671650638440776,-2.967213776097642,0.49848681688308716,0.4976111948490143,0.011781815439462662,0.011400585062801838,0.9676424759308392,0.0,102
True,1,26,112371,20.812348127365112,16,2,0.1,128,0.0003,0.005,20.0,100.0,2.0,0.02,0.02,0.02,300,35,-2.934673475483829,-2.940935404995859,0.49848681688308716,0.4975859522819519,0.011781815439462662,0.011517465114593506,0.9775628530061907,0.0,5
True,1,27,112372,26.740978717803955,24,3,0.05,256,0.0003,0.005,50.0,20.0,2.0,0.02,0.02,0.04,300,35,-2.9348251942793544,-2.940453824440646,0.49848681688308716,0.49758848547935486,0.011781815439462662,0.011516221798956394,0.9774573246482309,0.0,9
True,1,28,112373,11.382466554641724,16,1,0.1,512,0.0003,0.005,20.0,300.0,30.0,0.02,0.02,0.03,300,35,-2.9411171891215515,-2.9424393836978213,0.49848681688308716,0.49760571122169495,0.011781815439462662,0.011501437984406948,0.9762025252817489,0.0,23
True,1,29,112374,13.95919418334961,16,1,0.1,512,0.002,0.005,50.0,100.0,10.0,0.01,0.01,0.03,300,35,-2.968480644004229,-2.969512265937219,0.49848681688308716,0.49760687351226807,0.011781815439462662,0.011398586444556713,0.9674728400835121,0.0,39
True,1,30,112375,17.557656049728394,32,1,0.05,256,0.0003,0.001,50.0,100.0,30.0,0.01,0.02,0.03,300,35,-2.960434720438964,-2.961273194235802,0.49848681688308716,0.4976143538951874,0.011781815439462662,0.011365709826350212,0.9646823857282025,0.0,45
True,1,31,112376,15.630363941192627,32,2,0.1,512,0.002,0.001,20.0,300.0,10.0,0.015,0.015,0.04,300,35,-2.9542351020835564,-2.978840361025213,0.49848681688308716,0.4975125789642334,0.011781815439462662,0.011301078833639622,0.9591967292058544,0.0,12
True,1,32,112377,12.056623697280884,24,3,0.0,256,0.0003,0.0002,20.0,300.0,10.0,0.02,0.02,0.03,300,35,-2.930615458455991,-2.9387331494960236,0.49848681688308716,0.49764347076416016,0.011781815439462662,0.011534911580383778,0.9790436490583708,0.0,5
True,1,33,112378,23.596490144729614,8,2,0.05,512,0.0003,0.0002,100.0,300.0,30.0,0.01,0.01,0.04,300,35,-2.9166629242458204,-2.9446140608348643,0.49848681688308716,0.4977228045463562,0.011781815439462662,0.011521616950631142,0.9779152465790631,0.0,79
True,1,34,112379,12.102227449417114,24,3,0.0,128,0.0003,0.0002,50.0,100.0,30.0,0.02,0.01,0.03,300,35,-2.9324520467623025,-2.94007743252357,0.49848681688308716,0.49758049845695496,0.011781815439462662,0.011524812318384647,0.9781864584113927,0.0,4
True,1,35,112380,11.664289236068726,8,3,0.05,256,0.0003,0.0002,50.0,100.0,2.0,0.01,0.015,0.03,300,35,-2.938121182545481,-2.9395482522094762,0.49848681688308716,0.497616708278656,0.011781815439462662,0.011507384479045868,0.9767072433083954,0.0,20
